run,type,module,name,attrname,attrvalue,value
General-6-20231217-12:28:07-2548,runattr,,,configname,General,
General-6-20231217-12:28:07-2548,runattr,,,datetime,20231217-12:28:07,
General-6-20231217-12:28:07-2548,runattr,,,datetimef,20231217-122807,
General-6-20231217-12:28:07-2548,runattr,,,experiment,General,
General-6-20231217-12:28:07-2548,runattr,,,inifile,omnetpp.ini,
General-6-20231217-12:28:07-2548,runattr,,,iterationvars,,
General-6-20231217-12:28:07-2548,runattr,,,iterationvarsd,,
General-6-20231217-12:28:07-2548,runattr,,,iterationvarsf,,
General-6-20231217-12:28:07-2548,runattr,,,measurement,,
General-6-20231217-12:28:07-2548,runattr,,,network,SuperMarket,
General-6-20231217-12:28:07-2548,runattr,,,processid,2548,
General-6-20231217-12:28:07-2548,runattr,,,repetition,6,
General-6-20231217-12:28:07-2548,runattr,,,replication,#6,
General-6-20231217-12:28:07-2548,runattr,,,resultdir,results,
General-6-20231217-12:28:07-2548,runattr,,,runnumber,6,
General-6-20231217-12:28:07-2548,runattr,,,seedset,6,
General-6-20231217-12:28:07-2548,config,,,network,SuperMarket,
General-6-20231217-12:28:07-2548,config,,,sim-time-limit,60s * 60 * 24,
General-6-20231217-12:28:07-2548,config,,,repeat,40,
General-6-20231217-12:28:07-2548,config,,,seed-set,6,
General-6-20231217-12:28:07-2548,config,,,SuperMarket.C,4,
General-6-20231217-12:28:07-2548,config,,,SuperMarket.checkout.p,0.5,
General-6-20231217-12:28:07-2548,config,,,SuperMarket.checkout.classifier.K,8,
General-6-20231217-12:28:07-2548,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-6-20231217-12:28:07-2548,config,,,num-rngs,2,
General-6-20231217-12:28:07-2548,config,,,SuperMarket.source.rng-0,0,
General-6-20231217-12:28:07-2548,config,,,SuperMarket.source.rng-1,1,
General-6-20231217-12:28:07-2548,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-6-20231217-12:28:07-2548,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-6-20231217-12:28:07-2548,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-8-20231217-12:28:07-21804,runattr,,,configname,General,
General-8-20231217-12:28:07-21804,runattr,,,datetime,20231217-12:28:07,
General-8-20231217-12:28:07-21804,runattr,,,datetimef,20231217-122807,
General-8-20231217-12:28:07-21804,runattr,,,experiment,General,
General-8-20231217-12:28:07-21804,runattr,,,inifile,omnetpp.ini,
General-8-20231217-12:28:07-21804,runattr,,,iterationvars,,
General-8-20231217-12:28:07-21804,runattr,,,iterationvarsd,,
General-8-20231217-12:28:07-21804,runattr,,,iterationvarsf,,
General-8-20231217-12:28:07-21804,runattr,,,measurement,,
General-8-20231217-12:28:07-21804,runattr,,,network,SuperMarket,
General-8-20231217-12:28:07-21804,runattr,,,processid,21804,
General-8-20231217-12:28:07-21804,runattr,,,repetition,8,
General-8-20231217-12:28:07-21804,runattr,,,replication,#8,
General-8-20231217-12:28:07-21804,runattr,,,resultdir,results,
General-8-20231217-12:28:07-21804,runattr,,,runnumber,8,
