run,type,module,name,attrname,attrvalue,value
General-0-20231219-17:45:53-10308,runattr,,,configname,General,
General-0-20231219-17:45:53-10308,runattr,,,datetime,20231219-17:45:53,
General-0-20231219-17:45:53-10308,runattr,,,datetimef,20231219-174553,
General-0-20231219-17:45:53-10308,runattr,,,experiment,General,
General-0-20231219-17:45:53-10308,runattr,,,inifile,omnetpp.ini,
General-0-20231219-17:45:53-10308,runattr,,,iterationvars,,
General-0-20231219-17:45:53-10308,runattr,,,iterationvarsd,,
General-0-20231219-17:45:53-10308,runattr,,,iterationvarsf,,
General-0-20231219-17:45:53-10308,runattr,,,measurement,,
General-0-20231219-17:45:53-10308,runattr,,,network,SuperMarket,
General-0-20231219-17:45:53-10308,runattr,,,processid,10308,
General-0-20231219-17:45:53-10308,runattr,,,repetition,0,
General-0-20231219-17:45:53-10308,runattr,,,replication,#0,
General-0-20231219-17:45:53-10308,runattr,,,resultdir,results,
General-0-20231219-17:45:53-10308,runattr,,,runnumber,0,
General-0-20231219-17:45:53-10308,runattr,,,seedset,0,
General-0-20231219-17:45:53-10308,config,,,network,SuperMarket,
General-0-20231219-17:45:53-10308,config,,,sim-time-limit,60s * 60 * 24,
General-0-20231219-17:45:53-10308,config,,,repeat,100,
General-0-20231219-17:45:53-10308,config,,,seed-set,0,
General-0-20231219-17:45:53-10308,config,,,SuperMarket.C,4,
General-0-20231219-17:45:53-10308,config,,,SuperMarket.checkout.p,0.5,
General-0-20231219-17:45:53-10308,config,,,SuperMarket.checkout.classifier.K,1000,
General-0-20231219-17:45:53-10308,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-0-20231219-17:45:53-10308,config,,,num-rngs,2,
General-0-20231219-17:45:53-10308,config,,,SuperMarket.source.rng-0,0,
General-0-20231219-17:45:53-10308,config,,,SuperMarket.source.rng-1,1,
General-0-20231219-17:45:53-10308,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
