run,type,module,name,attrname,attrvalue,value
Slow-18-20231221-15:53:30-18496,runattr,,,configname,Slow,
Slow-18-20231221-15:53:30-18496,runattr,,,datetime,20231221-15:53:30,
Slow-18-20231221-15:53:30-18496,runattr,,,datetimef,20231221-155330,
Slow-18-20231221-15:53:30-18496,runattr,,,experiment,Slow,
Slow-18-20231221-15:53:30-18496,runattr,,,inifile,omnetpp.ini,
Slow-18-20231221-15:53:30-18496,runattr,,,iterationvars,,
Slow-18-20231221-15:53:30-18496,runattr,,,iterationvarsd,,
Slow-18-20231221-15:53:30-18496,runattr,,,iterationvarsf,,
Slow-18-20231221-15:53:30-18496,runattr,,,measurement,,
Slow-18-20231221-15:53:30-18496,runattr,,,network,SuperMarket,
Slow-18-20231221-15:53:30-18496,runattr,,,processid,18496,
Slow-18-20231221-15:53:30-18496,runattr,,,repetition,18,
Slow-18-20231221-15:53:30-18496,runattr,,,replication,#18,
Slow-18-20231221-15:53:30-18496,runattr,,,resultdir,results,
Slow-18-20231221-15:53:30-18496,runattr,,,runnumber,18,
Slow-18-20231221-15:53:30-18496,runattr,,,seedset,18,
Slow-18-20231221-15:53:30-18496,config,,,extends,ConsistencyTest,
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.checkout.classifier.K,16,
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.source.interArrivalTime,"exponential(60s, 0)",
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.source.numberOfItems,"int(exponential(39, 1)+1)",
Slow-18-20231221-15:53:30-18496,config,,,sim-time-limit,60s * 60 * 24,
Slow-18-20231221-15:53:30-18496,config,,,repeat,50,
Slow-18-20231221-15:53:30-18496,config,,,seed-set,18,
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.C,4,
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.checkout.p,0.5,
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Slow-18-20231221-15:53:30-18496,config,,,network,SuperMarket,
Slow-18-20231221-15:53:30-18496,config,,,sim-time-limit,60s * 60 * 24,
Slow-18-20231221-15:53:30-18496,config,,,repeat,50,
Slow-18-20231221-15:53:30-18496,config,,,seed-set,18,
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.C,4,
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.checkout.p,0.5,
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.checkout.classifier.K,16,
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.checkout.queues.serviceTime,3s,
Slow-18-20231221-15:53:30-18496,config,,,num-rngs,2,
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.source.rng-0,0,
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.source.rng-1,1,
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
Slow-18-20231221-15:53:30-18496,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
Slow-19-20231221-15:53:30-22272,runattr,,,configname,Slow,
Slow-19-20231221-15:53:30-22272,runattr,,,datetime,20231221-15:53:30,
Slow-19-20231221-15:53:30-22272,runattr,,,datetimef,20231221-155330,
Slow-19-20231221-15:53:30-22272,runattr,,,experiment,Slow,
Slow-19-20231221-15:53:30-22272,runattr,,,inifile,omnetpp.ini,
Slow-19-20231221-15:53:30-22272,runattr,,,iterationvars,,
Slow-19-20231221-15:53:30-22272,runattr,,,iterationvarsd,,
Slow-19-20231221-15:53:30-22272,runattr,,,iterationvarsf,,
Slow-19-20231221-15:53:30-22272,runattr,,,measurement,,
