run,type,module,name,attrname,attrvalue,value
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,configname,VerificationTheoreticalModel-Exponential,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,datetime,20231222-15:48:45,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,datetimef,20231222-154845,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,experiment,VerificationTheoreticalModel-Exponential,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,inifile,omnetpp.ini,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,iterationvars,,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,iterationvarsd,,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,iterationvarsf,,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,measurement,,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,network,SuperMarket,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,processid,14148,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,repetition,37,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,replication,#37,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,resultdir,results,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,runnumber,37,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,runattr,,,seedset,37,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,config,,,sim-time-limit,60s * 60 * 24,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,config,,,repeat,50,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,config,,,seed-set,37,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,config,,,SuperMarket.C,4,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,config,,,SuperMarket.checkout.p,0.5,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,config,,,SuperMarket.checkout.classifier.K,8,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,config,,,SuperMarket.checkout.queues.serviceTime,3s,
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,config,,,SuperMarket.checkout.classifier.policy,"""equallylikely""",
VerificationTheoreticalModel-Exponential-37-20231222-15:48:45-14148,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
