run,type,module,name,attrname,attrvalue,value
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,configname,ContinuityTest,
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,datetime,20231221-18:54:00,
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,datetimef,20231221-185400,
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,experiment,ContinuityTest,
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,inifile,omnetpp.ini,
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,iterationvars,"$0=exponential(31s, 0)",
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,iterationvarsd,"exponential(31s,_0)",
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,iterationvarsf,"exponential(31s,_0)-",
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,measurement,"$0=exponential(31s, 0)",
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,network,SuperMarket,
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,processid,12452,
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,repetition,15,
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,replication,#15,
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,resultdir,results,
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,runnumber,65,
ContinuityTest-65-20231221-18:54:00-12452,runattr,,,seedset,15,
ContinuityTest-65-20231221-18:54:00-12452,config,,,sim-time-limit,60s * 60 * 24,
ContinuityTest-65-20231221-18:54:00-12452,config,,,repeat,50,
ContinuityTest-65-20231221-18:54:00-12452,config,,,seed-set,15,
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.C,4,
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.checkout.queues.serviceTime,3s,
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.source.interArrivalTime,"exponential(31s, 0)",
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
ContinuityTest-65-20231221-18:54:00-12452,config,,,network,SuperMarket,
ContinuityTest-65-20231221-18:54:00-12452,config,,,sim-time-limit,60s * 60 * 24,
ContinuityTest-65-20231221-18:54:00-12452,config,,,repeat,50,
ContinuityTest-65-20231221-18:54:00-12452,config,,,seed-set,15,
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.C,4,
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.checkout.p,0.5,
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.checkout.classifier.K,16,
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.checkout.queues.serviceTime,3s,
ContinuityTest-65-20231221-18:54:00-12452,config,,,num-rngs,2,
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.source.rng-0,0,
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.source.rng-1,1,
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
ContinuityTest-65-20231221-18:54:00-12452,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,configname,ContinuityTest,
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,datetime,20231221-18:54:00,
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,datetimef,20231221-185400,
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,experiment,ContinuityTest,
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,inifile,omnetpp.ini,
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,iterationvars,"$0=exponential(31s, 0)",
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,iterationvarsd,"exponential(31s,_0)",
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,iterationvarsf,"exponential(31s,_0)-",
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,measurement,"$0=exponential(31s, 0)",
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,network,SuperMarket,
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,processid,18600,
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,repetition,18,
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,replication,#18,
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,resultdir,results,
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,runnumber,68,
ContinuityTest-68-20231221-18:54:00-18600,runattr,,,seedset,18,
ContinuityTest-68-20231221-18:54:00-18600,config,,,sim-time-limit,60s * 60 * 24,
ContinuityTest-68-20231221-18:54:00-18600,config,,,repeat,50,
ContinuityTest-68-20231221-18:54:00-18600,config,,,seed-set,18,
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.C,4,
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.checkout.queues.serviceTime,3s,
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.source.interArrivalTime,"exponential(31s, 0)",
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
ContinuityTest-68-20231221-18:54:00-18600,config,,,network,SuperMarket,
ContinuityTest-68-20231221-18:54:00-18600,config,,,sim-time-limit,60s * 60 * 24,
ContinuityTest-68-20231221-18:54:00-18600,config,,,repeat,50,
ContinuityTest-68-20231221-18:54:00-18600,config,,,seed-set,18,
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.C,4,
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.checkout.p,0.5,
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.checkout.classifier.K,16,
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.checkout.queues.serviceTime,3s,
ContinuityTest-68-20231221-18:54:00-18600,config,,,num-rngs,2,
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.source.rng-0,0,
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.source.rng-1,1,
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
ContinuityTest-68-20231221-18:54:00-18600,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,configname,ContinuityTest,
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,datetime,20231221-18:53:58,
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,datetimef,20231221-185358,
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,experiment,ContinuityTest,
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,inifile,omnetpp.ini,
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,iterationvars,"$0=exponential(31s, 0)",
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,iterationvarsd,"exponential(31s,_0)",
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,iterationvarsf,"exponential(31s,_0)-",
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,measurement,"$0=exponential(31s, 0)",
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,network,SuperMarket,
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,processid,5828,
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,repetition,1,
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,replication,#1,
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,resultdir,results,
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,runnumber,51,
ContinuityTest-51-20231221-18:53:58-5828,runattr,,,seedset,1,
ContinuityTest-51-20231221-18:53:58-5828,config,,,sim-time-limit,60s * 60 * 24,
ContinuityTest-51-20231221-18:53:58-5828,config,,,repeat,50,
ContinuityTest-51-20231221-18:53:58-5828,config,,,seed-set,1,
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.C,4,
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.checkout.queues.serviceTime,3s,
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.source.interArrivalTime,"exponential(31s, 0)",
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
ContinuityTest-51-20231221-18:53:58-5828,config,,,network,SuperMarket,
ContinuityTest-51-20231221-18:53:58-5828,config,,,sim-time-limit,60s * 60 * 24,
ContinuityTest-51-20231221-18:53:58-5828,config,,,repeat,50,
ContinuityTest-51-20231221-18:53:58-5828,config,,,seed-set,1,
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.C,4,
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.checkout.p,0.5,
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.checkout.classifier.K,16,
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.checkout.queues.serviceTime,3s,
ContinuityTest-51-20231221-18:53:58-5828,config,,,num-rngs,2,
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.source.rng-0,0,
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.source.rng-1,1,
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.source.numberOfItems,"int(exponential(19, 1)+1)",
ContinuityTest-51-20231221-18:53:58-5828,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
ContinuityTest-60-20231221-18:53:59-14704,runattr,,,configname,ContinuityTest,
ContinuityTest-60-20231221-18:53:59-14704,runattr,,,datetime,20231221-18:53:59,
ContinuityTest-60-20231221-18:53:59-14704,runattr,,,datetimef,20231221-185359,
ContinuityTest-60-20231221-18:53:59-14704,runattr,,,experiment,ContinuityTest,
ContinuityTest-60-20231221-18:53:59-14704,runattr,,,inifile,omnetpp.ini,
ContinuityTest-60-20231221-18:53:59-14704,runattr,,,iterationvars,"$0=exponential(31s, 0)",
ContinuityTest-60-20231221-18:53:59-14704,runattr,,,iterationvarsd,"exponential(31s,_0)",
ContinuityTest-60-20231221-18:53:59-14704,runattr,,,iterationvarsf,"exponential(31s,_0)-",
ContinuityTest-60-20231221-18:53:59-14704,runattr,,,measurement,"$0=exponential(31s, 0)",
ContinuityTest-60-20231221-18:53:59-14704,runattr,,,network,SuperMarket,
ContinuityTest-60-20231221-18:53:59-14704,runattr,,,processid,14704,
ContinuityTest-60-20231221-18:53:59-14704,runattr,,,repetition,10,
