run,type,module,name,attrname,attrvalue,value
General-121-20231219-20:28:01-22460,runattr,,,configname,General,
General-121-20231219-20:28:01-22460,runattr,,,datetime,20231219-20:28:01,
General-121-20231219-20:28:01-22460,runattr,,,datetimef,20231219-202801,
General-121-20231219-20:28:01-22460,runattr,,,experiment,General,
General-121-20231219-20:28:01-22460,runattr,,,inifile,omnetpp.ini,
General-121-20231219-20:28:01-22460,runattr,,,iterationvars,,
General-121-20231219-20:28:01-22460,runattr,,,iterationvarsd,,
General-121-20231219-20:28:01-22460,runattr,,,iterationvarsf,,
General-121-20231219-20:28:01-22460,runattr,,,measurement,,
General-121-20231219-20:28:01-22460,runattr,,,network,SuperMarket,
General-121-20231219-20:28:01-22460,runattr,,,processid,22460,
General-121-20231219-20:28:01-22460,runattr,,,repetition,121,
General-121-20231219-20:28:01-22460,runattr,,,replication,#121,
General-121-20231219-20:28:01-22460,runattr,,,resultdir,results,
General-121-20231219-20:28:01-22460,runattr,,,runnumber,121,
General-121-20231219-20:28:01-22460,runattr,,,seedset,121,
General-121-20231219-20:28:01-22460,config,,,network,SuperMarket,
General-121-20231219-20:28:01-22460,config,,,sim-time-limit,60s * 60 * 24,
General-121-20231219-20:28:01-22460,config,,,repeat,500,
General-121-20231219-20:28:01-22460,config,,,seed-set,121,
General-121-20231219-20:28:01-22460,config,,,SuperMarket.C,4,
General-121-20231219-20:28:01-22460,config,,,SuperMarket.checkout.p,0,
General-121-20231219-20:28:01-22460,config,,,SuperMarket.checkout.classifier.K,1000,
General-121-20231219-20:28:01-22460,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-121-20231219-20:28:01-22460,config,,,num-rngs,2,
General-121-20231219-20:28:01-22460,config,,,SuperMarket.source.rng-0,0,
General-121-20231219-20:28:01-22460,config,,,SuperMarket.source.rng-1,1,
General-121-20231219-20:28:01-22460,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-121-20231219-20:28:01-22460,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-121-20231219-20:28:01-22460,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-114-20231219-20:28:00-11396,runattr,,,configname,General,
General-114-20231219-20:28:00-11396,runattr,,,datetime,20231219-20:28:00,
General-114-20231219-20:28:00-11396,runattr,,,datetimef,20231219-202800,
General-114-20231219-20:28:00-11396,runattr,,,experiment,General,
General-114-20231219-20:28:00-11396,runattr,,,inifile,omnetpp.ini,
General-114-20231219-20:28:00-11396,runattr,,,iterationvars,,
General-114-20231219-20:28:00-11396,runattr,,,iterationvarsd,,
General-114-20231219-20:28:00-11396,runattr,,,iterationvarsf,,
General-114-20231219-20:28:00-11396,runattr,,,measurement,,
General-114-20231219-20:28:00-11396,runattr,,,network,SuperMarket,
General-114-20231219-20:28:00-11396,runattr,,,processid,11396,
General-114-20231219-20:28:00-11396,runattr,,,repetition,114,
General-114-20231219-20:28:00-11396,runattr,,,replication,#114,
General-114-20231219-20:28:00-11396,runattr,,,resultdir,results,
General-114-20231219-20:28:00-11396,runattr,,,runnumber,114,
General-114-20231219-20:28:00-11396,runattr,,,seedset,114,
General-114-20231219-20:28:00-11396,config,,,network,SuperMarket,
General-114-20231219-20:28:00-11396,config,,,sim-time-limit,60s * 60 * 24,
General-114-20231219-20:28:00-11396,config,,,repeat,500,
General-114-20231219-20:28:00-11396,config,,,seed-set,114,
General-114-20231219-20:28:00-11396,config,,,SuperMarket.C,4,
General-114-20231219-20:28:00-11396,config,,,SuperMarket.checkout.p,0,
General-114-20231219-20:28:00-11396,config,,,SuperMarket.checkout.classifier.K,1000,
General-114-20231219-20:28:00-11396,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-114-20231219-20:28:00-11396,config,,,num-rngs,2,
General-114-20231219-20:28:00-11396,config,,,SuperMarket.source.rng-0,0,
General-114-20231219-20:28:00-11396,config,,,SuperMarket.source.rng-1,1,
General-114-20231219-20:28:00-11396,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-114-20231219-20:28:00-11396,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-114-20231219-20:28:00-11396,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-120-20231219-20:28:01-7232,runattr,,,configname,General,
General-120-20231219-20:28:01-7232,runattr,,,datetime,20231219-20:28:01,
General-120-20231219-20:28:01-7232,runattr,,,datetimef,20231219-202801,
General-120-20231219-20:28:01-7232,runattr,,,experiment,General,
General-120-20231219-20:28:01-7232,runattr,,,inifile,omnetpp.ini,
General-120-20231219-20:28:01-7232,runattr,,,iterationvars,,
General-120-20231219-20:28:01-7232,runattr,,,iterationvarsd,,
General-120-20231219-20:28:01-7232,runattr,,,iterationvarsf,,
General-120-20231219-20:28:01-7232,runattr,,,measurement,,
General-120-20231219-20:28:01-7232,runattr,,,network,SuperMarket,
General-120-20231219-20:28:01-7232,runattr,,,processid,7232,
General-120-20231219-20:28:01-7232,runattr,,,repetition,120,
General-120-20231219-20:28:01-7232,runattr,,,replication,#120,
General-120-20231219-20:28:01-7232,runattr,,,resultdir,results,
General-120-20231219-20:28:01-7232,runattr,,,runnumber,120,
General-120-20231219-20:28:01-7232,runattr,,,seedset,120,
General-120-20231219-20:28:01-7232,config,,,network,SuperMarket,
General-120-20231219-20:28:01-7232,config,,,sim-time-limit,60s * 60 * 24,
General-120-20231219-20:28:01-7232,config,,,repeat,500,
General-120-20231219-20:28:01-7232,config,,,seed-set,120,
General-120-20231219-20:28:01-7232,config,,,SuperMarket.C,4,
General-120-20231219-20:28:01-7232,config,,,SuperMarket.checkout.p,0,
General-120-20231219-20:28:01-7232,config,,,SuperMarket.checkout.classifier.K,1000,
General-120-20231219-20:28:01-7232,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-120-20231219-20:28:01-7232,config,,,num-rngs,2,
General-120-20231219-20:28:01-7232,config,,,SuperMarket.source.rng-0,0,
General-120-20231219-20:28:01-7232,config,,,SuperMarket.source.rng-1,1,
General-120-20231219-20:28:01-7232,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-120-20231219-20:28:01-7232,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-120-20231219-20:28:01-7232,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-145-20231219-20:28:06-16660,runattr,,,configname,General,
General-145-20231219-20:28:06-16660,runattr,,,datetime,20231219-20:28:06,
General-145-20231219-20:28:06-16660,runattr,,,datetimef,20231219-202806,
General-145-20231219-20:28:06-16660,runattr,,,experiment,General,
General-145-20231219-20:28:06-16660,runattr,,,inifile,omnetpp.ini,
