run,type,module,name,attrname,attrvalue,value
General-53-20231219-19:38:21-5424,runattr,,,configname,General,
General-53-20231219-19:38:21-5424,runattr,,,datetime,20231219-19:38:21,
General-53-20231219-19:38:21-5424,runattr,,,datetimef,20231219-193821,
General-53-20231219-19:38:21-5424,runattr,,,experiment,General,
General-53-20231219-19:38:21-5424,runattr,,,inifile,omnetpp.ini,
General-53-20231219-19:38:21-5424,runattr,,,iterationvars,,
General-53-20231219-19:38:21-5424,runattr,,,iterationvarsd,,
General-53-20231219-19:38:21-5424,runattr,,,iterationvarsf,,
General-53-20231219-19:38:21-5424,runattr,,,measurement,,
General-53-20231219-19:38:21-5424,runattr,,,network,SuperMarket,
General-53-20231219-19:38:21-5424,runattr,,,processid,5424,
General-53-20231219-19:38:21-5424,runattr,,,repetition,53,
General-53-20231219-19:38:21-5424,runattr,,,replication,#53,
General-53-20231219-19:38:21-5424,runattr,,,resultdir,results,
General-53-20231219-19:38:21-5424,runattr,,,runnumber,53,
General-53-20231219-19:38:21-5424,runattr,,,seedset,53,
General-53-20231219-19:38:21-5424,config,,,network,SuperMarket,
General-53-20231219-19:38:21-5424,config,,,sim-time-limit,60s * 60 * 24,
General-53-20231219-19:38:21-5424,config,,,repeat,100,
General-53-20231219-19:38:21-5424,config,,,seed-set,53,
General-53-20231219-19:38:21-5424,config,,,SuperMarket.C,4,
General-53-20231219-19:38:21-5424,config,,,SuperMarket.checkout.p,1,
General-53-20231219-19:38:21-5424,config,,,SuperMarket.checkout.classifier.K,1000,
General-53-20231219-19:38:21-5424,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-53-20231219-19:38:21-5424,config,,,num-rngs,2,
General-53-20231219-19:38:21-5424,config,,,SuperMarket.source.rng-0,0,
General-53-20231219-19:38:21-5424,config,,,SuperMarket.source.rng-1,1,
General-53-20231219-19:38:21-5424,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-53-20231219-19:38:21-5424,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-53-20231219-19:38:21-5424,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-28-20231219-19:38:20-4444,runattr,,,configname,General,
General-28-20231219-19:38:20-4444,runattr,,,datetime,20231219-19:38:20,
General-28-20231219-19:38:20-4444,runattr,,,datetimef,20231219-193820,
General-28-20231219-19:38:20-4444,runattr,,,experiment,General,
General-28-20231219-19:38:20-4444,runattr,,,inifile,omnetpp.ini,
General-28-20231219-19:38:20-4444,runattr,,,iterationvars,,
General-28-20231219-19:38:20-4444,runattr,,,iterationvarsd,,
General-28-20231219-19:38:20-4444,runattr,,,iterationvarsf,,
General-28-20231219-19:38:20-4444,runattr,,,measurement,,
General-28-20231219-19:38:20-4444,runattr,,,network,SuperMarket,
General-28-20231219-19:38:20-4444,runattr,,,processid,4444,
General-28-20231219-19:38:20-4444,runattr,,,repetition,28,
General-28-20231219-19:38:20-4444,runattr,,,replication,#28,
General-28-20231219-19:38:20-4444,runattr,,,resultdir,results,
General-28-20231219-19:38:20-4444,runattr,,,runnumber,28,
General-28-20231219-19:38:20-4444,runattr,,,seedset,28,
General-28-20231219-19:38:20-4444,config,,,network,SuperMarket,
General-28-20231219-19:38:20-4444,config,,,sim-time-limit,60s * 60 * 24,
General-28-20231219-19:38:20-4444,config,,,repeat,100,
General-28-20231219-19:38:20-4444,config,,,seed-set,28,
General-28-20231219-19:38:20-4444,config,,,SuperMarket.C,4,
General-28-20231219-19:38:20-4444,config,,,SuperMarket.checkout.p,1,
General-28-20231219-19:38:20-4444,config,,,SuperMarket.checkout.classifier.K,1000,
General-28-20231219-19:38:20-4444,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-28-20231219-19:38:20-4444,config,,,num-rngs,2,
General-28-20231219-19:38:20-4444,config,,,SuperMarket.source.rng-0,0,
General-28-20231219-19:38:20-4444,config,,,SuperMarket.source.rng-1,1,
General-28-20231219-19:38:20-4444,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-28-20231219-19:38:20-4444,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-28-20231219-19:38:20-4444,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-47-20231219-19:38:21-6568,runattr,,,configname,General,
General-47-20231219-19:38:21-6568,runattr,,,datetime,20231219-19:38:21,
General-47-20231219-19:38:21-6568,runattr,,,datetimef,20231219-193821,
General-47-20231219-19:38:21-6568,runattr,,,experiment,General,
General-47-20231219-19:38:21-6568,runattr,,,inifile,omnetpp.ini,
General-47-20231219-19:38:21-6568,runattr,,,iterationvars,,
General-47-20231219-19:38:21-6568,runattr,,,iterationvarsd,,
General-47-20231219-19:38:21-6568,runattr,,,iterationvarsf,,
General-47-20231219-19:38:21-6568,runattr,,,measurement,,
General-47-20231219-19:38:21-6568,runattr,,,network,SuperMarket,
General-47-20231219-19:38:21-6568,runattr,,,processid,6568,
General-47-20231219-19:38:21-6568,runattr,,,repetition,47,
General-47-20231219-19:38:21-6568,runattr,,,replication,#47,
General-47-20231219-19:38:21-6568,runattr,,,resultdir,results,
General-47-20231219-19:38:21-6568,runattr,,,runnumber,47,
General-47-20231219-19:38:21-6568,runattr,,,seedset,47,
General-47-20231219-19:38:21-6568,config,,,network,SuperMarket,
General-47-20231219-19:38:21-6568,config,,,sim-time-limit,60s * 60 * 24,
General-47-20231219-19:38:21-6568,config,,,repeat,100,
General-47-20231219-19:38:21-6568,config,,,seed-set,47,
General-47-20231219-19:38:21-6568,config,,,SuperMarket.C,4,
General-47-20231219-19:38:21-6568,config,,,SuperMarket.checkout.p,1,
General-47-20231219-19:38:21-6568,config,,,SuperMarket.checkout.classifier.K,1000,
General-47-20231219-19:38:21-6568,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-47-20231219-19:38:21-6568,config,,,num-rngs,2,
General-47-20231219-19:38:21-6568,config,,,SuperMarket.source.rng-0,0,
General-47-20231219-19:38:21-6568,config,,,SuperMarket.source.rng-1,1,
General-47-20231219-19:38:21-6568,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-47-20231219-19:38:21-6568,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-47-20231219-19:38:21-6568,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-54-20231219-19:38:21-15932,runattr,,,configname,General,
General-54-20231219-19:38:21-15932,runattr,,,datetime,20231219-19:38:21,
General-54-20231219-19:38:21-15932,runattr,,,datetimef,20231219-193821,
General-54-20231219-19:38:21-15932,runattr,,,experiment,General,
General-54-20231219-19:38:21-15932,runattr,,,inifile,omnetpp.ini,
General-54-20231219-19:38:21-15932,runattr,,,iterationvars,,
General-54-20231219-19:38:21-15932,runattr,,,iterationvarsd,,
General-54-20231219-19:38:21-15932,runattr,,,iterationvarsf,,
General-54-20231219-19:38:21-15932,runattr,,,measurement,,
General-54-20231219-19:38:21-15932,runattr,,,network,SuperMarket,
General-54-20231219-19:38:21-15932,runattr,,,processid,15932,
General-54-20231219-19:38:21-15932,runattr,,,repetition,54,
General-54-20231219-19:38:21-15932,runattr,,,replication,#54,
General-54-20231219-19:38:21-15932,runattr,,,resultdir,results,
General-54-20231219-19:38:21-15932,runattr,,,runnumber,54,
General-54-20231219-19:38:21-15932,runattr,,,seedset,54,
General-54-20231219-19:38:21-15932,config,,,network,SuperMarket,
General-54-20231219-19:38:21-15932,config,,,sim-time-limit,60s * 60 * 24,
General-54-20231219-19:38:21-15932,config,,,repeat,100,
General-54-20231219-19:38:21-15932,config,,,seed-set,54,
General-54-20231219-19:38:21-15932,config,,,SuperMarket.C,4,
General-54-20231219-19:38:21-15932,config,,,SuperMarket.checkout.p,1,
General-54-20231219-19:38:21-15932,config,,,SuperMarket.checkout.classifier.K,1000,
General-54-20231219-19:38:21-15932,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-54-20231219-19:38:21-15932,config,,,num-rngs,2,
General-54-20231219-19:38:21-15932,config,,,SuperMarket.source.rng-0,0,
General-54-20231219-19:38:21-15932,config,,,SuperMarket.source.rng-1,1,
General-54-20231219-19:38:21-15932,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-54-20231219-19:38:21-15932,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-54-20231219-19:38:21-15932,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-1-20231219-19:38:19-16960,runattr,,,configname,General,
General-1-20231219-19:38:19-16960,runattr,,,datetime,20231219-19:38:19,
General-1-20231219-19:38:19-16960,runattr,,,datetimef,20231219-193819,
General-1-20231219-19:38:19-16960,runattr,,,experiment,General,
General-1-20231219-19:38:19-16960,runattr,,,inifile,omnetpp.ini,
General-1-20231219-19:38:19-16960,runattr,,,iterationvars,,
General-1-20231219-19:38:19-16960,runattr,,,iterationvarsd,,
General-1-20231219-19:38:19-16960,runattr,,,iterationvarsf,,
General-1-20231219-19:38:19-16960,runattr,,,measurement,,
General-1-20231219-19:38:19-16960,runattr,,,network,SuperMarket,
General-1-20231219-19:38:19-16960,runattr,,,processid,16960,
General-1-20231219-19:38:19-16960,runattr,,,repetition,1,
