run,type,module,name,attrname,attrvalue,value
General-14-20231219-20:10:35-6212,runattr,,,configname,General,
General-14-20231219-20:10:35-6212,runattr,,,datetime,20231219-20:10:35,
General-14-20231219-20:10:35-6212,runattr,,,datetimef,20231219-201035,
General-14-20231219-20:10:35-6212,runattr,,,experiment,General,
General-14-20231219-20:10:35-6212,runattr,,,inifile,omnetpp.ini,
General-14-20231219-20:10:35-6212,runattr,,,iterationvars,,
General-14-20231219-20:10:35-6212,runattr,,,iterationvarsd,,
General-14-20231219-20:10:35-6212,runattr,,,iterationvarsf,,
General-14-20231219-20:10:35-6212,runattr,,,measurement,,
General-14-20231219-20:10:35-6212,runattr,,,network,SuperMarket,
General-14-20231219-20:10:35-6212,runattr,,,processid,6212,
General-14-20231219-20:10:35-6212,runattr,,,repetition,14,
General-14-20231219-20:10:35-6212,runattr,,,replication,#14,
General-14-20231219-20:10:35-6212,runattr,,,resultdir,results,
General-14-20231219-20:10:35-6212,runattr,,,runnumber,14,
General-14-20231219-20:10:35-6212,runattr,,,seedset,14,
General-14-20231219-20:10:35-6212,config,,,network,SuperMarket,
General-14-20231219-20:10:35-6212,config,,,sim-time-limit,60s * 60 * 24,
General-14-20231219-20:10:35-6212,config,,,repeat,500,
General-14-20231219-20:10:35-6212,config,,,seed-set,14,
General-14-20231219-20:10:35-6212,config,,,SuperMarket.C,4,
General-14-20231219-20:10:35-6212,config,,,SuperMarket.checkout.p,1,
General-14-20231219-20:10:35-6212,config,,,SuperMarket.checkout.classifier.K,1000,
General-14-20231219-20:10:35-6212,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-14-20231219-20:10:35-6212,config,,,num-rngs,2,
General-14-20231219-20:10:35-6212,config,,,SuperMarket.source.rng-0,0,
General-14-20231219-20:10:35-6212,config,,,SuperMarket.source.rng-1,1,
General-14-20231219-20:10:35-6212,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-14-20231219-20:10:35-6212,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-14-20231219-20:10:35-6212,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-144-20231219-20:10:41-20448,runattr,,,configname,General,
General-144-20231219-20:10:41-20448,runattr,,,datetime,20231219-20:10:41,
General-144-20231219-20:10:41-20448,runattr,,,datetimef,20231219-201041,
General-144-20231219-20:10:41-20448,runattr,,,experiment,General,
General-144-20231219-20:10:41-20448,runattr,,,inifile,omnetpp.ini,
General-144-20231219-20:10:41-20448,runattr,,,iterationvars,,
General-144-20231219-20:10:41-20448,runattr,,,iterationvarsd,,
General-144-20231219-20:10:41-20448,runattr,,,iterationvarsf,,
General-144-20231219-20:10:41-20448,runattr,,,measurement,,
General-144-20231219-20:10:41-20448,runattr,,,network,SuperMarket,
General-144-20231219-20:10:41-20448,runattr,,,processid,20448,
General-144-20231219-20:10:41-20448,runattr,,,repetition,144,
General-144-20231219-20:10:41-20448,runattr,,,replication,#144,
General-144-20231219-20:10:41-20448,runattr,,,resultdir,results,
General-144-20231219-20:10:41-20448,runattr,,,runnumber,144,
General-144-20231219-20:10:41-20448,runattr,,,seedset,144,
General-144-20231219-20:10:41-20448,config,,,network,SuperMarket,
General-144-20231219-20:10:41-20448,config,,,sim-time-limit,60s * 60 * 24,
General-144-20231219-20:10:41-20448,config,,,repeat,500,
General-144-20231219-20:10:41-20448,config,,,seed-set,144,
General-144-20231219-20:10:41-20448,config,,,SuperMarket.C,4,
General-144-20231219-20:10:41-20448,config,,,SuperMarket.checkout.p,1,
General-144-20231219-20:10:41-20448,config,,,SuperMarket.checkout.classifier.K,1000,
General-144-20231219-20:10:41-20448,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-144-20231219-20:10:41-20448,config,,,num-rngs,2,
General-144-20231219-20:10:41-20448,config,,,SuperMarket.source.rng-0,0,
General-144-20231219-20:10:41-20448,config,,,SuperMarket.source.rng-1,1,
General-144-20231219-20:10:41-20448,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-144-20231219-20:10:41-20448,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-144-20231219-20:10:41-20448,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-146-20231219-20:10:42-11868,runattr,,,configname,General,
General-146-20231219-20:10:42-11868,runattr,,,datetime,20231219-20:10:42,
General-146-20231219-20:10:42-11868,runattr,,,datetimef,20231219-201042,
General-146-20231219-20:10:42-11868,runattr,,,experiment,General,
General-146-20231219-20:10:42-11868,runattr,,,inifile,omnetpp.ini,
General-146-20231219-20:10:42-11868,runattr,,,iterationvars,,
General-146-20231219-20:10:42-11868,runattr,,,iterationvarsd,,
General-146-20231219-20:10:42-11868,runattr,,,iterationvarsf,,
General-146-20231219-20:10:42-11868,runattr,,,measurement,,
General-146-20231219-20:10:42-11868,runattr,,,network,SuperMarket,
General-146-20231219-20:10:42-11868,runattr,,,processid,11868,
General-146-20231219-20:10:42-11868,runattr,,,repetition,146,
General-146-20231219-20:10:42-11868,runattr,,,replication,#146,
General-146-20231219-20:10:42-11868,runattr,,,resultdir,results,
General-146-20231219-20:10:42-11868,runattr,,,runnumber,146,
General-146-20231219-20:10:42-11868,runattr,,,seedset,146,
General-146-20231219-20:10:42-11868,config,,,network,SuperMarket,
General-146-20231219-20:10:42-11868,config,,,sim-time-limit,60s * 60 * 24,
General-146-20231219-20:10:42-11868,config,,,repeat,500,
General-146-20231219-20:10:42-11868,config,,,seed-set,146,
General-146-20231219-20:10:42-11868,config,,,SuperMarket.C,4,
General-146-20231219-20:10:42-11868,config,,,SuperMarket.checkout.p,1,
General-146-20231219-20:10:42-11868,config,,,SuperMarket.checkout.classifier.K,1000,
General-146-20231219-20:10:42-11868,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-146-20231219-20:10:42-11868,config,,,num-rngs,2,
General-146-20231219-20:10:42-11868,config,,,SuperMarket.source.rng-0,0,
General-146-20231219-20:10:42-11868,config,,,SuperMarket.source.rng-1,1,
General-146-20231219-20:10:42-11868,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-146-20231219-20:10:42-11868,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-146-20231219-20:10:42-11868,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-12-20231219-20:10:35-19528,runattr,,,configname,General,
General-12-20231219-20:10:35-19528,runattr,,,datetime,20231219-20:10:35,
General-12-20231219-20:10:35-19528,runattr,,,datetimef,20231219-201035,
General-12-20231219-20:10:35-19528,runattr,,,experiment,General,
General-12-20231219-20:10:35-19528,runattr,,,inifile,omnetpp.ini,
General-12-20231219-20:10:35-19528,runattr,,,iterationvars,,
General-12-20231219-20:10:35-19528,runattr,,,iterationvarsd,,
General-12-20231219-20:10:35-19528,runattr,,,iterationvarsf,,
General-12-20231219-20:10:35-19528,runattr,,,measurement,,
General-12-20231219-20:10:35-19528,runattr,,,network,SuperMarket,
General-12-20231219-20:10:35-19528,runattr,,,processid,19528,
General-12-20231219-20:10:35-19528,runattr,,,repetition,12,
General-12-20231219-20:10:35-19528,runattr,,,replication,#12,
General-12-20231219-20:10:35-19528,runattr,,,resultdir,results,
General-12-20231219-20:10:35-19528,runattr,,,runnumber,12,
General-12-20231219-20:10:35-19528,runattr,,,seedset,12,
General-12-20231219-20:10:35-19528,config,,,network,SuperMarket,
General-12-20231219-20:10:35-19528,config,,,sim-time-limit,60s * 60 * 24,
General-12-20231219-20:10:35-19528,config,,,repeat,500,
General-12-20231219-20:10:35-19528,config,,,seed-set,12,
General-12-20231219-20:10:35-19528,config,,,SuperMarket.C,4,
General-12-20231219-20:10:35-19528,config,,,SuperMarket.checkout.p,1,
General-12-20231219-20:10:35-19528,config,,,SuperMarket.checkout.classifier.K,1000,
General-12-20231219-20:10:35-19528,config,,,SuperMarket.checkout.queues.serviceTime,3s,
General-12-20231219-20:10:35-19528,config,,,num-rngs,2,
General-12-20231219-20:10:35-19528,config,,,SuperMarket.source.rng-0,0,
General-12-20231219-20:10:35-19528,config,,,SuperMarket.source.rng-1,1,
General-12-20231219-20:10:35-19528,config,,,SuperMarket.source.interArrivalTime,"exponential(30s, 0)",
General-12-20231219-20:10:35-19528,config,,,SuperMarket.source.numberOfItems,"int(exponential(20, 1))",
General-12-20231219-20:10:35-19528,config,,,SuperMarket.checkout.classifier.policy,"""jtsq""",
General-109-20231219-20:10:39-9672,runattr,,,configname,General,
General-109-20231219-20:10:39-9672,runattr,,,datetime,20231219-20:10:39,
General-109-20231219-20:10:39-9672,runattr,,,datetimef,20231219-201039,
General-109-20231219-20:10:39-9672,runattr,,,experiment,General,
General-109-20231219-20:10:39-9672,runattr,,,inifile,omnetpp.ini,
General-109-20231219-20:10:39-9672,runattr,,,iterationvars,,
General-109-20231219-20:10:39-9672,runattr,,,iterationvarsd,,
General-109-20231219-20:10:39-9672,runattr,,,iterationvarsf,,
General-109-20231219-20:10:39-9672,runattr,,,measurement,,
General-109-20231219-20:10:39-9672,runattr,,,network,SuperMarket,
